City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,copala,16.65,-98.9833,298.8,88,34,2.05,MX,1698641959
172,vila franca do campo,37.7167,-25.4333,288.08,99,100,0.96,PT,1698641961
173,lycksele,64.5954,18.6735,265.08,93,100,3.09,SE,1698641962
174,santa maria,-29.6842,-53.8069,293.01,93,3,2.03,BR,1698641965
175,hadibu,12.65,54.0333,300.24,70,99,4.11,YE,1698641971
176,plettenberg bay,-34.0527,23.3716,286.38,65,4,4.14,ZA,1698641972
177,sambhal,28.5833,78.55,300.25,38,0,1.35,IN,1698641972
178,zhezqazghan,47.7833,67.7667,283.47,87,40,5.0,KZ,1698641973
179,ushuaia,-54.8,-68.3,271.96,93,100,7.72,AR,1698641974
180,saint-pierre,-21.3393,55.4781,300.69,69,20,4.63,RE,1698641975
181,aykhal,66.0,111.5,253.66,93,95,1.45,RU,1698641975
182,sao joao da barra,-21.6403,-41.0511,295.95,93,98,0.86,BR,1698641976
183,touros,-5.1989,-35.4608,298.0,75,36,6.15,BR,1698641977
184,tabuk,17.4189,121.4443,301.84,66,99,1.84,PH,1698641978
185,ola,59.5833,151.2833,272.96,62,6,0.83,RU,1698641978
186,ulsteinvik,62.3432,5.8487,277.46,55,1,5.36,NO,1698641979
187,brookings,44.3114,-96.7984,269.88,90,100,4.63,US,1698641981
188,saldanha,-33.0117,17.9442,287.18,49,0,7.61,ZA,1698641981
189,bredasdorp,-34.5322,20.0403,286.16,61,0,7.74,ZA,1698641983
190,hilo,19.7297,-155.09,299.0,85,100,0.45,US,1698641984
191,valongo,41.195,-8.5103,287.4,68,40,2.57,PT,1698641985
192,ancud,-41.8697,-73.8203,280.03,81,100,7.58,CL,1698641986
193,north bend,43.4065,-124.2243,284.35,66,0,3.09,US,1698641987
194,viransehir,37.2353,39.7631,294.95,35,95,1.95,TR,1698641724
195,talnakh,69.4865,88.3972,253.82,93,39,2.26,RU,1698641998
196,santa ana de yacuma,-13.75,-65.4333,299.98,63,87,3.96,BO,1698641999
197,talcahuano,-36.7167,-73.1167,278.97,93,20,1.03,CL,1698642000
198,sampit,-2.5333,112.95,310.41,35,16,1.38,ID,1698642000
199,atafu village,-8.5421,-172.5159,302.38,66,68,6.36,TK,1698642004
200,nova vicosa,-17.8919,-39.3719,295.54,80,71,2.51,BR,1698642008
201,khvoynaya,58.9,34.5333,269.61,86,100,2.87,RU,1698642010
202,mejit,10.2753,170.8646,301.27,81,100,9.45,MH,1698642011
203,paka,4.6374,103.4368,304.11,63,100,1.8,MY,1698642014
204,santa cruz,-17.8,-63.1667,297.85,88,75,8.75,BO,1698642013
205,thinadhoo,0.5333,72.9333,300.68,76,35,6.92,MV,1698642017
206,bohlen,51.2,12.3833,286.35,87,91,1.79,DE,1698642018
207,port lincoln,-34.7333,135.8667,290.79,45,22,9.16,AU,1698642019
208,bermejo,-32.8833,-68.8,295.1,14,0,7.72,AR,1698642019
209,haiku-pauwela,20.9219,-156.3051,298.17,74,20,5.66,US,1698642020
210,arar,30.9753,41.0381,293.16,64,75,3.6,SA,1698642022
211,kavieng,-2.5744,150.7967,298.95,85,100,4.71,PG,1698642022
212,filingue,14.3521,3.3168,300.73,15,6,2.68,NE,1698642023
213,hope,33.6671,-93.5916,282.18,93,100,4.5,US,1698642005
214,uruguaiana,-29.7547,-57.0883,297.11,88,100,7.72,BR,1698642024
